index,Job Title,Salary Estimate,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Job_country,Job_state,Company_Year,python_yn,visualization_yn,Excel_yn,analysis_yn,communication_yn,aws_yn
330,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
331,AWS Data Scientist,167500,3.8,"Amazon Web Services, Inc.
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Remote,Remote,28,1,0,0,0,1,1
332,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Denver, CO,23,0,0,0,0,0,0
334,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
335,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
336,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
337,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
338,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
339,"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)",150000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
340,Principal Data Scientist - Engineering Analytics,170000,3.9,"Verizon
",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),Nevada,Nevada,22,0,1,0,1,1,0
341,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
342,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
343,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
345,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
346,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
348,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
349,"Lead Data Scientist, Marketing Analytics",125496,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
350,Data Scientist (University Graduate),151000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Remote,Remote,18,0,1,0,1,0,0
351,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
352,Senior Data Scientist,181500,4.0,"Charles Schwab
",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Lone Tree, CO,49,0,0,0,0,0,0
353,"Data Scientist, Infrastructure",162533,4.1,"Pinterest
",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),San Francisco, CA,12,0,0,0,0,0,0
355,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
356,Sr. Data Scientist,134274,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
357,Data Scientist,111199,3.4,"Cerebral
",1001 to 5000 Employees,2020,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),San Francisco, CA,2,0,0,0,0,0,0
358,Data Scientist - Intermediate,107163,4.1,"Bayer
",10000+ Employees,1863,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),San Francisco, CA,159,1,0,1,0,0,0
360,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
361,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Denver, CO,23,0,0,0,0,0,0
362,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
363,AWS Data Scientist,167500,3.8,"Amazon Web Services, Inc.
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Remote,Remote,28,1,0,0,0,1,1
365,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
366,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
367,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
368,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
369,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
371,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
372,Data Science Manager - Communities & Servers,96438,4.4,"Discord
",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),San Francisco, CA,7,0,0,0,0,0,0
373,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
374,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
375,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
376,"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)",150000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
377,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
378,"Lead Data Scientist, Marketing Analytics",125496,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
379,Data Scientist,111199,3.4,"Cerebral
",1001 to 5000 Employees,2020,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),San Francisco, CA,2,0,0,0,0,0,0
380,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
381,Data Scientist (University Graduate),151000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Remote,Remote,18,0,1,0,1,0,0
383,Senior Data Scientist,181500,4.0,"Charles Schwab
",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Lone Tree, CO,49,0,0,0,0,0,0
384,"Data Scientist, Infrastructure",162533,4.1,"Pinterest
",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),San Francisco, CA,12,0,0,0,0,0,0
385,"Data Scientist, Basketball Integrity",91252,3.9,"the NBA
",1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,New York, NY,76,0,0,0,0,0,0
386,Data Scientist - Intermediate,107163,4.1,"Bayer
",10000+ Employees,1863,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),San Francisco, CA,159,1,0,1,0,0,0
388,Sr. Data Scientist,134274,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
389,"Senior Data Scientist, ESG Innovation and Solutions",156400,4.1,"S&P Global
",10000+ Employees,1888,Company - Public,Financial Analytics & Research,Finance,$5 to $10 billion (USD),Boston, MA,134,1,0,1,1,1,0
390,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
391,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
392,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
393,"Senior Data Scientist - People and Organizational Performance, Org Analytics",125043,4.4,"McKinsey & Company
",10000+ Employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Atlanta, GA,96,0,0,0,0,0,0
395,Data Science Manager - Communities & Servers,96438,4.4,"Discord
",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),San Francisco, CA,7,0,0,0,0,0,0
396,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
397,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
398,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
400,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Denver, CO,23,0,0,0,0,0,0
401,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
402,"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)",150000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
403,Lead Data Scientist - Customer Data Science,153275,3.5,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
405,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
406,Manager - Statistical Analyst,132750,4.0,"Charles Schwab
",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Lone Tree, CO,49,0,0,0,0,0,0
409,Principal Data Scientist - Engineering Analytics,170000,3.9,"Verizon
",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),Nevada,Nevada,22,0,1,0,1,1,0
410,"Data Scientist, Infrastructure",162533,4.1,"Pinterest
",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),San Francisco, CA,12,0,0,0,0,0,0
411,Data Scientist (University Graduate),151000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Remote,Remote,18,0,1,0,1,0,0
412,"Lead Data Scientist, Marketing Analytics",125496,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
413,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
414,"Data Scientist, Basketball Integrity",91252,3.9,"the NBA
",1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,New York, NY,76,0,0,0,0,0,0
415,Data Scientist - Intermediate,107163,4.1,"Bayer
",10000+ Employees,1863,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),San Francisco, CA,159,1,0,1,0,0,0
416,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
417,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
418,Data Scientist,122631,4.4,"Denken Solutions Inc
",201 to 500 Employees,2010,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),San Francisco, CA,12,0,0,0,0,0,0
419,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
420,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
421,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
422,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
423,Data Science Manager - Communities & Servers,96438,4.4,"Discord
",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),San Francisco, CA,7,0,0,0,0,0,0
425,Data Scientist - Engineering Analytics,170000,3.9,"Verizon
",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),Nevada,Nevada,22,0,1,1,1,1,0
426,"Senior Data Scientist - People and Organizational Performance, Org Analytics",125043,4.4,"McKinsey & Company
",10000+ Employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Atlanta, GA,96,0,0,0,0,0,0
427,AWS Data Scientist,167500,3.8,"Amazon Web Services, Inc.
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Remote,Remote,28,1,0,0,0,1,1
428,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
429,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
430,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
431,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
432,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Denver, CO,23,0,0,0,0,0,0
434,Principal Data Scientist - Engineering Analytics,170000,3.9,"Verizon
",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),Nevada,Nevada,22,0,1,0,1,1,0
435,"Data Scientist, Basketball Integrity",91252,3.9,"the NBA
",1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,New York, NY,76,0,0,0,0,0,0
436,"Lead Data Scientist, Marketing Analytics",125496,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
438,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
439,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
440,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
441,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
443,Manager - Statistical Analyst,132750,4.0,"Charles Schwab
",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Lone Tree, CO,49,0,0,0,0,0,0
444,"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)",150000,4.2,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
445,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
446,Data Scientist (University Graduate),151000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Remote,Remote,18,0,1,0,1,0,0
447,"Senior Manager, Advanced Analytics Data Scientist",104841,4.0,"Chanel
",10000+ Employees,1924,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),New York, NY,98,0,0,0,0,1,0
448,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
450,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
451,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
452,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
453,Data Science Manager - Communities & Servers,96438,4.4,"Discord
",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),San Francisco, CA,7,0,0,0,0,0,0
455,Data Scientist - Engineering Analytics,170000,3.9,"Verizon
",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),Nevada,Nevada,22,0,1,1,1,1,0
456,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
457,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
458,AWS Data Scientist,167500,3.8,"Amazon Web Services, Inc.
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Remote,Remote,28,1,0,0,0,1,1
459,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
460,"Senior Data Scientist - People and Organizational Performance, Org Analytics",125043,4.4,"McKinsey & Company
",10000+ Employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Atlanta, GA,96,0,0,0,0,0,0
461,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
462,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Denver, CO,23,0,0,0,0,0,0
463,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
464,Principal Data Scientist - Engineering Analytics,170000,3.9,"Verizon
",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),Nevada,Nevada,22,0,1,0,1,1,0
465,Manager - Statistical Analyst,132750,4.0,"Charles Schwab
",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Lone Tree, CO,49,0,0,0,0,0,0
466,"Data Scientist, Basketball Integrity",91252,3.9,"the NBA
",1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,New York, NY,76,0,0,0,0,0,0
467,"Lead Data Scientist, Marketing Analytics",125496,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
468,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
469,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
470,"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)",150000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
473,"Data Scientist, Infrastructure",162533,4.1,"Pinterest
",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),San Francisco, CA,12,0,0,0,0,0,0
474,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
475,Senior Data Scientist - Marketing Analytics (Remote Eligible),126000,4.2,"Redfin
",1001 to 5000 Employees,2004,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,Remote,Remote,18,0,0,0,0,0,0
476,Data Science Advisor (Express Scripts) - Evernorth,127700,3.8,"Cigna
",10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Saint Louis, MO,157,1,1,1,1,1,1
477,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
479,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
480,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
481,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
482,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
483,Data Science Manager - Communities & Servers,96438,4.4,"Discord
",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),San Francisco, CA,7,0,0,0,0,0,0
484,"Senior Data Scientist - People and Organizational Performance, Org Analytics",125043,4.4,"McKinsey & Company
",10000+ Employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Atlanta, GA,96,0,0,0,0,0,0
486,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
487,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
488,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
